Year,Exchange_Rate,Currency
2003,3.67,U.A.E. dirham   (AED)                     
2004,3.67,U.A.E. dirham   (AED)                     
2005,3.67,U.A.E. dirham   (AED)                     
2006,3.67,U.A.E. dirham   (AED)                     
2007,3.67,U.A.E. dirham   (AED)                     
2008,3.67,U.A.E. dirham   (AED)                     
2009,3.67,U.A.E. dirham   (AED)                     
2010,3.67,U.A.E. dirham   (AED)                     
2011,3.67,U.A.E. dirham   (AED)                     
2012,3.67,U.A.E. dirham   (AED)                     
2013,3.67,U.A.E. dirham   (AED)                     
2014,3.67,U.A.E. dirham   (AED)                     
2015,3.67,U.A.E. dirham   (AED)                     
2016,3.67,U.A.E. dirham   (AED)                     
2017,3.67,U.A.E. dirham   (AED)                     
2018,3.67,U.A.E. dirham   (AED)                     
2019,3.67,U.A.E. dirham   (AED)                     
2020,3.67,U.A.E. dirham   (AED)                     
2000,1.49,U.K. pound   (GBP)                     
2001,1.45,U.K. pound   (GBP)                     
2002,1.61,U.K. pound   (GBP)                     
2003,1.78,U.K. pound   (GBP)                     
2004,1.93,U.K. pound   (GBP)                     
2005,1.72,U.K. pound   (GBP)                     
2006,1.96,U.K. pound   (GBP)                     
2007,2.00,U.K. pound   (GBP)                     
2008,1.46,U.K. pound   (GBP)                     
2009,1.62,U.K. pound   (GBP)                     
2010,1.54,U.K. pound   (GBP)                     
2011,1.55,U.K. pound   (GBP)                     
2012,1.61,U.K. pound   (GBP)                     
2013,1.65,U.K. pound   (GBP)                     
2014,1.56,U.K. pound   (GBP)                     
2015,1.48,U.K. pound   (GBP)                     
2016,1.23,U.K. pound   (GBP)                     
2017,1.35,U.K. pound   (GBP)                     
2018,1.27,U.K. pound   (GBP)                     
2019,1.31,U.K. pound   (GBP)                     
2020,1.34,U.K. pound   (GBP)                     
2000,1.00,U.S. dollar   (USD)                     
2001,1.00,U.S. dollar   (USD)                     
2002,1.00,U.S. dollar   (USD)                     
2003,1.00,U.S. dollar   (USD)                     
2004,1.00,U.S. dollar   (USD)                     
2005,1.00,U.S. dollar   (USD)                     
2006,1.00,U.S. dollar   (USD)                     
2007,1.00,U.S. dollar   (USD)                     
2008,1.00,U.S. dollar   (USD)                     
2009,1.00,U.S. dollar   (USD)                     
2010,1.00,U.S. dollar   (USD)                     
2011,1.00,U.S. dollar   (USD)                     
2012,1.00,U.S. dollar   (USD)                     
2013,1.00,U.S. dollar   (USD)                     
2014,1.00,U.S. dollar   (USD)                     
2015,1.00,U.S. dollar   (USD)                     
2016,1.00,U.S. dollar   (USD)                     
2017,1.00,U.S. dollar   (USD)                     
2018,1.00,U.S. dollar   (USD)                     
2019,1.00,U.S. dollar   (USD)                     
2020,1.00,U.S. dollar   (USD)                     
