Country,Code,GDP_PCAP
New Zealand,NZL,43810.87
Italy,ITA,44395.11
Malta,MLT,46071.33
OECD members,OED,46331.58
European Union,EUU,46442.78
Bahrain,BHR,47002.55
United Kingdom,GBR,48484.27
Saudi Arabia,SAU,49040.34
Euro area,EMU,49207.83
France,FRA,49519.3
Canada,CAN,50510.75
Post-demographic dividend,PST,51004.71
Finland,FIN,51619.83
High income,HIC,51920.85
Kuwait,KWT,52059.72
Australia,AUS,52203.13
Belgium,BEL,54628.1
Sweden,SWE,55027.37
Germany,DEU,55891.2
Iceland,ISL,58512.65
Austria,AUT,58649.67
Netherlands,NLD,59469.08
Denmark,DNK,60334.81
"Hong Kong SAR, China",HKG,62495.96
North America,NAC,63781.77
Brunei Darussalam,BRN,64847.65
United States,USA,65297.52
Norway,NOR,67978.72
United Arab Emirates,ARE,70089.32
Switzerland,CHE,70276.55
Bermuda,BMU,85272.21
Ireland,IRL,87217.35
Qatar,QAT,94028.6
Singapore,SGP,101649.07
Luxembourg,LUX,120962.19
"Macao SAR, China",MAC,129451.06
