Country,Current,Capital,Investment,C-I,Exporters_Importers
Samoa,22.21,31.30,2.20,55.71,Net Exporters
Eswatini,60.73,-2.40,2.00,60.33,Net Exporters
Solomon Islands,-47.82,60.00,54.10,66.28,Net Importers
Tuvalu,25.95,10.40,40.00,76.35,Net Exporters
Djibouti,428.63,69.60,-411.10,87.13,Net Exporters
St. Lucia,102.84,38.30,84.40,225.54,Net Exporters
Vanuatu,85.91,39.70,128.10,253.71,Net Exporters
Togo,-184.85,316.40,123.30,254.85,Net Importers
Madagascar,98.05,239.80,139.00,476.85,Net Exporters
Bahrain,-2434.57,795.20,2208.90,569.53,Net Importers
Guatemala,622.34,0.50,259.70,882.54,Net Exporters
Estonia,280.09,402.00,795.40,"1,477.49",Net Exporters
Malta,925.98,134.30,432.60,"1,492.88",Net Exporters
Latvia,-98.93,608.60,1007.20,"1,516.87",Net Importers
Kazakhstan,-138.45,251.00,1433.80,"1,546.35",Net Importers
Lithuania,131.11,872.60,1284.10,"2,287.81",Net Exporters
Iceland,985.67,-15.90,1452.50,"2,422.27",Net Exporters
Malaysia,8026.40,-22.30,-4767.40,"3,236.70",Net Exporters
Croatia,1027.74,856.30,2112.30,"3,996.34",Net Exporters
Czech Rep.,1259.69,565.20,2981.30,"4,806.19",Net Exporters
Bulgaria,559.36,701.80,3640.30,"4,901.46",Net Exporters
Hungary,636.38,3614.80,1046.30,"5,297.48",Net Exporters
"Slovenia, Rep. of",3170.22,-262.90,3010.60,"5,917.92",Net Exporters
Poland,-7530.00,12148.00,1315.00,"5,933.00",Net Importers
Portugal,1321.82,2385.70,3941.20,"7,648.72",Net Exporters
Luxembourg,3333.28,930.00,4262.30,"8,525.58",Net Exporters
Papua New Guinea,5450.80,7.60,4074.60,"9,533.00",Net Exporters
Israel,9676.70,364.10,860.60,"10,901.40",Net Exporters
Austria,5990.93,-2629.40,8358.10,"11,719.63",Net Exporters
Azerbaijan,6051.08,1.40,6698.80,"12,751.28",Net Exporters
Angola,7402.61,2.90,7246.00,"14,651.51",Net Exporters
Sweden,14562.14,215.00,7686.10,"22,463.24",Net Exporters
Macao,18302.87,-15.90,12589.30,"30,876.27",Net Exporters
Hong Kong,13514.40,-200.70,22138.90,"35,452.60",Net Exporters
Denmark,24829.86,31.00,16915.00,"41,775.86",Net Exporters
Kuwait,24049.12,-241.80,26728.10,"50,535.42",Net Exporters
Iraq,34369.50,-5.80,22144.90,"56,508.60",Net Exporters
Norway,34961.41,-173.20,32248.80,"67,037.01",Net Exporters
Spain,27209.53,6722.60,38676.30,"72,608.43",Net Exporters
Italy,52075.45,-400.60,31138.50,"82,813.35",Net Exporters
Switzerland,49094.76,14326.80,69230.00,"132,651.56",Net Exporters
Korea,77466.50,316.70,76473.40,"154,256.60",Net Exporters
Netherlands,99005.77,-606.70,102741.90,"201,140.97",Net Exporters
Russia,115679.87,-1103.60,116686.40,"231,262.67",Net Exporters
Japan,177268.54,-1922.50,183022.90,"358,368.94",Net Exporters
Germany,312691.83,1006.30,292266.40,"605,964.53",Net Exporters
